batter_name,PA_all,PA_high,wOBA_all,wOBA_high,OPS_all,OPS_high,K%_all,K%_high,ClutchFactor,LI_used_in_flag
randy arozarena,712,130.0,0.3407932011331445,0.341015625,0.7589205349106338,0.7581120943952802,0.26825842696629215,0.27692307692307694,0.13050827601465081,False
josé ramírez,673,118.0,0.38384615384615384,0.37546296296296294,0.8639589507852982,0.8444683908045978,0.1099554234769688,0.06779661016949153,0.12485321716247165,False
liam hicks,392,67.0,0.33025974025974025,0.32238805970149254,0.6914616363128665,0.6708697889861039,0.14285714285714285,0.1044776119402985,0.12108267484231805,False
elly de la cruz,701,120.0,0.3454876273653566,0.3420353982300885,0.7747000226398008,0.7650943396226415,0.2582025677603424,0.25,0.12106031417094167,False
casey schmitt,348,63.0,0.31286127167630057,0.3114754098360656,0.7087805605247466,0.686217008797654,0.23563218390804597,0.2222222222222222,0.118339377948816,False
nathan lukes,440,68.0,0.3325117370892019,0.3434426229508197,0.7283840190816935,0.696969696969697,0.13636363636363635,0.16176470588235295,0.11618368268445847,False
joey bart,334,56.0,0.325,0.32037037037037036,0.6912725072503078,0.6458333333333333,0.27844311377245506,0.23214285714285715,0.10999924930754568,False
tj friedl,687,114.0,0.34302496328928045,0.33938053097345133,0.7427180276098071,0.7081656124209316,0.16739446870451238,0.14912280701754385,0.09637988197847193,False
bryson stott,563,108.0,0.32262118491921005,0.3133333333333333,0.7169919961089215,0.6765791632485644,0.16163410301953818,0.12037037037037036,0.08937554326520403,False
sal frelick,594,92.0,0.3467687074829932,0.3532608695652174,0.7592549203373946,0.7153985255251079,0.132996632996633,0.16304347826086957,0.07187316951494442,False
eli white,272,61.0,0.3089887640449438,0.29152542372881357,0.6750396310707595,0.6710526315789473,0.25735294117647056,0.2459016393442623,0.06759686608149111,False
jung hoo lee,617,125.0,0.33368506493506495,0.3245967741935484,0.7366697739454673,0.6912873078082604,0.11507293354943274,0.088,0.06596905388144247,False
jacob young,365,63.0,0.28810198300283285,0.2808333333333334,0.5819284940411701,0.5474842767295598,0.17534246575342466,0.1746031746031746,0.05837589247850115,False
cam smith,495,79.0,0.3074036511156187,0.3050632911392405,0.6690323673643195,0.6559101444107684,0.2727272727272727,0.31645569620253167,0.05833906912864533,False
mauricio dubón,398,65.0,0.28743654822335024,0.28225806451612906,0.6443536516583439,0.6184558434690639,0.10552763819095477,0.12307692307692308,0.05833520929121373,False
ryan jeffers,466,70.0,0.33917748917748913,0.34347826086956523,0.7494465528146743,0.7157894736842105,0.19527896995708155,0.24285714285714285,0.055117576673246994,False
brooks baldwin,328,59.0,0.3140432098765432,0.30948275862068964,0.698592132505176,0.6449760765550239,0.2621951219512195,0.2542372881355932,0.05212997804346835,False
logan o'hoppe,454,91.0,0.2791111111111111,0.2702247191011236,0.6251817690805601,0.6007936507936508,0.30616740088105726,0.31868131868131866,0.04927290384110503,False
matt mclain,577,104.0,0.2963157894736842,0.29405940594059404,0.644891640866873,0.6030704194014908,0.28942807625649913,0.3076923076923077,0.04817136058195918,False
nico hoerner,651,99.0,0.33961240310077523,0.3275510204081633,0.7388921606698778,0.7163120567375887,0.07526881720430108,0.08080808080808081,0.045478879802730646,False
zach neto,555,100.0,0.34587912087912087,0.3281914893617021,0.7931610337972167,0.7306597057427622,0.26846846846846845,0.21,0.0390848667654419,False
luis urías,331,51.0,0.3125757575757576,0.30098039215686273,0.6537286324786324,0.6521120075937352,0.13293051359516617,0.17647058823529413,0.03189234838786086,False
victor scott,463,83.0,0.2850663716814159,0.2762820512820513,0.6031490787269682,0.5857142857142856,0.23974082073434125,0.27710843373493976,0.029696481387214015,False
connor norby,337,68.0,0.3215773809523809,0.3058823529411765,0.691462733696594,0.7210820895522387,0.26706231454005935,0.3382352941176471,0.024321532249934802,False
nolan jones,407,73.0,0.2779448621553885,0.2640845070422535,0.5961210143975891,0.5433053468846664,0.27764127764127766,0.2602739726027397,0.021198440271836056,False
daniel schneemann,422,78.0,0.29114832535885166,0.2814102564102564,0.6368953386103782,0.599924585218703,0.2772511848341232,0.2948717948717949,0.02096986861929455,False
kyle tucker,588,77.0,0.3767241379310345,0.36621621621621625,0.8489229737658202,0.8111205432937181,0.14965986394557823,0.16883116883116883,0.014295319375923616,False
jake burger,377,78.0,0.306781914893617,0.29545454545454547,0.6874204227145404,0.6476091476091477,0.2413793103448276,0.2564102564102564,0.012579215029745771,False
ketel marte,556,86.0,0.38905109489051093,0.3798780487804878,0.8946051838456902,0.8650507697346872,0.14928057553956833,0.18604651162790697,0.011133583428729273,False
alec bohm,504,93.0,0.34063745019920316,0.3293478260869565,0.7448241240825371,0.6793103448275861,0.1626984126984127,0.16129032258064516,-0.004406844788305213,False
andrés giménez,370,58.0,0.2774590163934426,0.26403508771929823,0.5990064580228515,0.5508760107816711,0.1783783783783784,0.1896551724137931,-0.004672417442428824,False
oneil cruz,545,84.0,0.31003717472118963,0.30062500000000003,0.6771186440677965,0.6079972062161689,0.3192660550458716,0.32142857142857145,-0.00515330033343285,False
cody bellinger,658,96.0,0.3550535987748851,0.33999999999999997,0.8154083204930662,0.7958931222167245,0.13677811550151975,0.17708333333333334,-0.006164490121505127,False
vinnie pasquantino,684,111.0,0.3528148148148148,0.34813084112149534,0.797521139812348,0.7474747474747474,0.1564327485380117,0.2072072072072072,-0.014380567552166913,False
tyler freeman,428,58.0,0.3287058823529411,0.3137931034482758,0.7185626107835619,0.6681914144968333,0.1191588785046729,0.13793103448275862,-0.02393400573466194,False
ben rice,531,74.0,0.36275992438563326,0.34864864864864864,0.8356241586791872,0.7898346107301331,0.18832391713747645,0.21621621621621623,-0.024619050075101505,False
nathaniel lowe,610,98.0,0.3105132450331126,0.2889473684210526,0.6898672492018147,0.6375718390804598,0.25901639344262295,0.25510204081632654,-0.030352798961204186,False
jackson merrill,485,86.0,0.337941787941788,0.3170588235294118,0.774166580073494,0.7403474903474904,0.22061855670103092,0.2441860465116279,-0.03378097862618328,False
jeremy peña,543,93.0,0.37551020408163266,0.3677777777777778,0.8414882428067012,0.7711021505376344,0.1712707182320442,0.20430107526881722,-0.03648185561180323,False
keibert ruiz,267,50.0,0.2796992481203008,0.254,0.595842547545334,0.5153191489361701,0.09737827715355805,0.06,-0.04987421274886783,False
colton cowser,360,57.0,0.2899441340782123,0.2785714285714286,0.6547655453618757,0.620701754385965,0.35555555555555557,0.43859649122807015,-0.061654070731732645,False
jared triolo,378,65.0,0.3201612903225806,0.30163934426229505,0.664514782161841,0.5816112608565438,0.20105820105820105,0.2,-0.06371073684890587,False
brent rooker,699,91.0,0.3579856115107914,0.34213483146067414,0.8154401233887849,0.7665158371040723,0.2217453505007153,0.27472527472527475,-0.0676320454117425,False
ryan o'hearn,547,76.0,0.362546468401487,0.3458333333333333,0.8004447687549949,0.7706477732793522,0.19926873857404023,0.27631578947368424,-0.07321254048282061,False
